RegionID,SizeRank,RegionName,RegionType,StateName,No of Bedrooms,Division,Region,Latitude,Longitude,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023,2/28/2023,3/31/2023,4/30/2023,5/31/2023,6/30/2023,7/31/2023,8/31/2023,9/30/2023,10/31/2023,11/30/2023,12/31/2023,1/31/2024,2/29/2024
394913,1,"New York, NY",msa,NY,1 Bedroom,Middle Atlantic,Northeast,40.6943,-73.9249,247597.0447,248228.9263,248761.7465,249118.1208,249179.9435,249912.1002,250279.0072,250411.4797,250217.4148,249728.479,248692.6755,247460.8957,246152.2022,245219.5679,244988.7716,244547.7967,243592.9994,242103.717,240820.024,240244.7769,239772.3035,239126.4519,238511.4939,238178.6905,237862.7147,237471.9141,237182.2184,237351.2973,237783.2752,238117.0572,238654.525,238909.3559,239137.227,239495.2464,240420.8676,241468.3596,243245.5516,244974.5971,246054.4058,246004.1363,245564.2593,246203.7304,247109.3291,248685.1613,251122.6564,254818.8733,258079.6594,259727.8131,260769.3657,262371.3404,265289.1571,267753.8691,270027.6486,270676.6089,271046.1782,271074.0626,271709.3132,273179.6211,274904.4537,276254.4967,276219.5496,275587.4787,275581.1624,276440.0528,277774.0164,278424.7848,278931.7588,280753.1236,283723.5153,287525.6529,290067.5355,292933.1234,293984.6215,294018.3583,292746.4578,292633.8466,293619.5789,295230.0742,296331.6581,297181.7674,297864.459,298352.4634,299662.0923,302115.3928,304830.8663,307563.2793,309439.148,312206.3645,314601.6466,317188.1054,319672.6129,322284.2515,324206.3057,325261.7923,324937.7482,324997.2422,325696.6728,327760.3038,330249.6796,332927.6433,335692.8463,337555.5589,339043.585,339803.5824,340334.424,340034.2226,340014.2597,339820.4485,341252.7049,343037.3015,345703.7467,347937.6323,349784.2207,351145.7147,351705.4271,351014.1303,349402.5191,347694.0737,347386.4858,348037.8488,350237.2139,352612.6293,355143.1545,356617.119,357540.5495,357503.7093,356049.8347,352979.5683,349547.9172,346848.7306,345853.7009,346447.2298,347499.7893,348818.7708,350347.8433,352086.5265,354217.5769,355962.454,358261.9857,360761.2151,363479.7292,366701.9383,370203.1218,373455.4865,374756.2218,374990.02,375001.2329,376089.5964,377473.856,379890.9522,381345.1858,381686.7235,379902.6416,378021.8854,376918.9951,376748.419,378006.7676,378871.5011,379691.0557,380160.7291,380920.069,382235.502,383402.5047,384529.949,385295.7993,385759.7708,386028.4798,386042.8285,386656.242,387523.7085
753899,2,"Los Angeles, CA",msa,CA,1 Bedroom,Pacific,West,34.1141,-118.4068,235676.2577,234557.0266,233224.6787,233240.6319,233834.7643,232758.9132,230819.8642,228018.963,225012.5267,222041.8161,218953.4817,216933.3579,215342.7284,214548.4448,213261.9498,211875.0059,209313.0122,207671.5691,206357.4983,204814.3285,202544.4669,200043.6672,198956.3301,198350.6749,197697.152,196450.657,194770.8396,193106.2833,191831.3271,191713.8316,192571.3906,194752.0489,197792.1557,201834.361,206541.4813,211471.9237,216106.0923,219728.4264,222299.1822,225201.6358,229210.2295,234499.9545,239997.6362,245962.1772,252562.7057,259761.3152,265926.0041,270625.5795,273042.2459,274703.387,275983.2257,277779.8976,279838.7844,281390.0835,282853.0305,284396.6239,287173.5436,290694.3852,294573.2579,298265.4373,300307.3461,300960.1709,300550.0404,300624.6865,301453.1791,302659.3555,303296.9152,302836.8933,301443.7449,300392.538,299299.2161,298582.3422,300278.9884,305014.0025,311397.6426,316901.379,321078.9171,324993.106,325923.4158,324209.0398,320508.5998,317909.7641,317498.5387,318370.7183,322932.8751,330005.0752,338906.242,346348.8925,351857.9564,356593.2767,358517.7907,359365.1343,359540.342,361792.0133,364805.5519,367601.2835,371782.1545,377740.9501,385001.9042,391209.6703,396291.2684,399705.6511,403294.8506,407303.8301,412771.4485,418136.2149,422324.2238,425159.3476,424633.4529,420833.6313,414990.216,410139.909,407039.7998,404971.9225,404983.9087,407142.1426,410737.9554,414290.8142,417510.2859,421220.899,423785.6763,424948.6202,424666.3071,424253.1086,423037.76,421035.6095,420225.9733,422170.3822,426658.6028,431920.4879,438136.0338,444517.9577,448569.9427,449814.6041,449214.8467,450213.7508,453037.8614,457719.8778,464042.4775,470417.2488,476026.6036,481259.7678,487007.3552,493613.2139,498955.1672,503083.6727,506670.976,510160.2681,514125.6878,517076.6474,519349.7094,519565.5518,518951.3861,518657.1786,519398.9731,520345.4411,518406.9547,513787.7293,508520.0793,506138.0974,506660.064,509239.1583,513319.5823,518574.4096,524408.8506,529160.5101,532877.3283,534562.2555,534080.5235,531055.3303
394463,3,"Chicago, IL",msa,IL,1 Bedroom,East North Central,Midwest,41.8375,-87.6866,132347.7057,132243.3776,131441.6513,131561.4959,130904.0632,130811.7945,128928.5192,127337.0211,125189.1776,123538.4275,121415.5791,119298.4574,117376.5981,115711.8182,114519.8442,113277.3884,112327.9607,111060.7829,110035.6806,108814.0501,107600.3102,105891.5624,104488.1225,102910.9816,101702.072,100262.3394,98988.93161,97761.05712,97068.16275,97004.30291,97408.6722,97668.16896,97845.77902,97512.45268,96978.90463,96416.10632,96666.40318,97393.53465,98370.96582,99657.81748,100985.9789,102799.0055,104260.3609,106045.5563,107846.9776,110100.9322,112026.8918,113392.7104,114416.1017,115521.2523,117217.7489,118730.192,120138.4042,121017.7122,122100.2757,123149.1422,124125.3576,124935.1642,125561.1555,126098.5533,126482.9557,126749.2465,127405.5087,127934.1433,128706.6577,129152.4708,129693.4003,130065.593,130346.8877,130873.8246,131505.4706,132139.749,132805.713,133739.5097,134475.7686,135155.0969,135561.7584,136227.1017,136523.5221,136642.5359,136842.134,137320.5141,138299.8679,139638.8529,140912.2974,142091.7864,143119.052,143924.8972,144552.9223,144770.4487,145226.4243,145649.5388,146419.786,147604.552,149124.1635,150829.2799,152236.7477,153738.0346,155564.8709,157174.1409,158061.807,157871.7622,157795.3789,157909.2199,158438.5872,158565.9314,158519.1787,158542.1157,159106.3069,159983.2467,160562.4689,160862.8154,160909.4157,160829.656,160462.0684,159971.2751,159264.4843,158934.2305,158905.8783,159583.1974,160684.4729,161721.179,162327.6177,162178.0036,161450.6334,160512.2977,159675.6155,159566.6427,159987.83,160557.5545,161228.2606,161910.0418,162580.6284,163397.5824,164354.5525,165257.3396,165810.0144,166437.3373,167558.1932,168642.6709,169048.1418,169044.2442,169257.3951,169922.1094,170396.795,171038.3717,171972.3066,173587.6208,174341.3365,174606.7803,174124.751,173983.5708,173976.7555,174217.0693,174696.7776,175257.3474,175763.2085,176384.0243,177300.0313,178788.1692,180440.196,182077.5826,183619.9067,185458.9924,187420.4824,189152.4725,190479.9039,190940.1467,191083.1948,191282.0453
394514,4,"Dallas, TX",msa,TX,1 Bedroom,West South Central,South,32.7935,-96.7667,60630.58505,60285.33115,59623.7929,59350.39329,59102.20137,59096.81013,58920.01674,58682.36196,58219.99819,57822.91141,57411.22679,57188.45687,56763.03216,56303.87819,55636.85885,55138.52026,54595.57988,54248.52813,54024.82771,54106.93459,54228.75968,54367.01549,54386.97777,54394.40251,54097.76098,53993.3731,53927.60767,54130.30142,54288.66204,54697.41432,55473.25309,56066.4576,56516.51106,56665.22984,56822.35363,56969.58414,57320.25422,58009.08001,58554.54978,58957.93873,59271.03804,59956.85733,60621.32082,61118.67673,61295.78578,61625.4064,62070.6756,62627.98775,63182.96394,63730.82628,64262.79469,64726.09415,65365.68096,66200.50173,67284.05019,68037.37554,68460.59314,68615.55313,68980.01072,69493.19051,69993.29657,70603.41654,71339.65439,72035.79991,72664.79041,73204.5164,74111.4729,75063.32624,76267.82138,77391.06144,78541.8578,79615.49527,80914.20966,82328.12643,83535.73437,84677.30417,85821.3444,87313.24968,88537.27887,89490.18292,90374.31786,91291.55126,92829.1263,94233.29532,95730.49755,96881.10607,98099.79371,99442.69056,100651.9091,101788.8634,102959.2157,104215.9812,105569.8532,106825.8334,108084.8209,109297.2533,110421.5643,111693.2197,113204.0802,114696.3397,116030.1116,116816.8759,117626.4224,118258.5641,119044.7343,119522.037,120072.079,120823.003,121731.7085,122437.8943,122789.3882,122717.1797,122667.7025,122729.4162,123010.5342,123204.2002,123366.1962,123612.021,124140.0063,124845.9334,125923.1627,127078.8422,128060.0437,128503.5175,128358.3605,127916.1288,127687.8916,127980.6363,128818.2792,129889.6912,131236.1641,132584.8124,133690.2368,134722.9705,135963.5688,137622.8634,139402.3809,140997.8583,142218.9743,142976.9582,143590.2264,144377.2452,145647.3022,147317.6089,149956.5885,153279.7376,157121.5585,160994.975,164762.9632,168160.8602,170313.1791,171118.7331,170966.0111,171072.879,171473.0376,171948.5128,171854.4435,171499.6462,171182.3487,171121.6202,171147.6557,171603.7502,172305.1515,173536.3598,174503.2373,175074.9387,175230.1501,174853.4366,174654.6312,174613.9529
394692,5,"Houston, TX",msa,TX,1 Bedroom,West South Central,South,29.786,-95.3885,62923.65936,62770.0896,62517.84187,62381.92467,62162.68229,61887.94372,61337.80263,60711.43699,60170.04785,59929.1912,59692.34882,59483.85253,58990.51078,58539.31873,57882.38012,57528.22976,57318.20567,57418.81496,57604.76187,57812.15337,57952.02845,58131.93473,58126.13274,58114.00468,57915.29175,57980.84329,58113.21392,58302.92376,58342.54961,58554.29093,58964.35023,59370.15743,59526.55991,59582.7676,59592.66406,59731.46675,59903.61759,60389.5032,60840.57801,61226.89666,61591.23493,62237.20777,62842.43205,63421.35507,63656.37622,64221.05741,64733.41491,65547.75274,66342.93283,67254.07626,68119.94912,68915.3813,69692.32938,70543.8521,71636.97205,72740.37277,73436.15115,73993.51859,74556.50653,75579.07399,76469.92019,77428.05918,78305.1052,79153.78013,79862.49576,80359.77527,80862.94833,81475.43136,82041.54485,82615.60137,82961.88813,83507.06553,84144.68447,84884.779,85252.55328,85563.92205,85871.30608,86492.95695,86901.66787,87327.35147,87744.63581,88256.68238,88850.69802,89361.44105,89959.26569,90458.84383,91021.63964,91532.43503,91786.218,91983.51522,92265.97493,92688.80113,93083.61053,93440.67365,93897.06955,94393.03614,94905.16334,95526.35948,96299.65934,96872.23256,97279.77184,97523.7435,98013.31,98558.04704,99105.06344,99572.61744,99970.50015,100567.0211,101327.7147,102059.8769,102615.3807,102832.2072,103115.37,103358.5868,103505.3853,103506.7022,103537.9708,103887.84,104478.0891,105157.4108,105813.8115,106470.7341,107141.3541,107723.3476,107934.6162,107849.5833,107642.4709,107795.6078,108281.7118,109040.6491,110046.0882,110998.6647,111690.4435,112167.0397,112790.6815,113768.275,115067.9553,116561.3736,117874.3289,118784.7779,119406.8172,120212.3872,121255.7634,122510.7964,124126.8772,125734.9599,127585.6124,129372.47,131276.9664,133077.2896,134276.2682,135036.0184,135423.6307,136033.6925,136782.3115,137313.1421,137531.9335,137567.9883,137699.5972,137963.1799,138285.4663,138595.1061,138880.1256,139280.9672,139574.2809,139659.9283,139676.9325,139472.851,139387.0476,139112.4298
395209,6,"Washington, DC",msa,VA,1 Bedroom,South Atlantic,South,38.9047,-77.0163,234159.6,235528.1229,236595.6882,237530.4137,238500.4762,239303.764,239342.5651,238894.8909,237946.6564,236829.9333,235638.7375,235252.6063,235616.0531,236411.3944,236602.317,236127.5275,235320.092,234628.9667,233736.9942,232497.9763,231305.2831,230650.8971,230578.768,230396.7291,230253.0908,230311.9453,231051.7845,231873.234,232600.5985,233596.5151,234896.7845,236503.6696,238024.1548,239733.3604,241286.1508,242796.1625,244446.3841,246638.7539,248710.1325,250385.9901,251714.8703,253032.3169,254397.8793,255708.3094,257318.2043,259107.4311,260548.996,261557.2317,262108.9188,263154.8359,264297.066,265400.2716,266037.3278,266124.8858,266144.2884,266084.7108,266193.9088,266203.2516,266139.0261,266326.5159,266350.0187,266305.1908,266175.7991,266017.2423,265740.086,265331.8231,265261.1976,265510.8453,265747.5323,266293.6348,266833.7525,267343.381,267570.321,267543.8011,267430.9858,267329.4084,267203.3869,267162.1657,266691.5967,266275.4676,266157.5121,266529.5379,267434.1866,268404.9909,269297.1362,270005.8861,270519.7493,271168.9656,271411.5135,271794.3557,272196.2092,273051.9294,273858.0088,274702.8285,275237.285,275888.7391,276513.8851,277212.1356,278013.161,278567.0393,279151.4872,279151.3024,279657.5812,279876.9233,280414.081,280708.2991,281393.3897,282260.0056,283127.8714,283863.782,284653.728,285580.2016,286506.5342,287196.6548,287814.9795,288509.2747,289220.7304,289977.1713,291173.569,292815.5604,295276.8188,297779.6009,300419.8966,302589.1011,303712.7434,303747.9304,303274.369,303481.8475,304580.9696,306034.9832,307609.3538,308895.7175,309423.3937,309325.7218,309287.3484,309661.572,310239.49,310488.2893,309912.3436,308938.2654,307438.8095,306423.5945,305978.5607,306188.6712,306641.5347,307306.2238,308881.5236,310860.9715,312596.7952,313513.1339,313476.4036,312866.1568,311704.7046,310969.9665,310577.4471,310265.2386,309711.8977,309340.3556,309164.7892,309793.9389,310982.1734,312984.8241,315338.6052,317956.3642,320406.3928,322035.6513,322947.7213,322702.471,322431.813,322280.2367
394974,7,"Philadelphia, PA",msa,PA,1 Bedroom,Middle Atlantic,Northeast,40.0077,-75.1339,147918.8391,148053.7744,148170.9712,148256.6327,148028.3076,147668.5272,147044.6771,146207.5224,144947.1837,143464.8535,142078.8589,140949.8779,140191.931,139568.2732,139096.5273,138386.0362,137455.8748,136369.0771,135254.7359,134409.4684,133691.9219,133124.4163,132517.1755,131997.9709,131415.355,130875.628,130607.4382,130611.5783,130674.7175,130607.4107,130591.5577,130534.3565,130372.9879,129918.6424,129502.1325,129338.9579,129394.7489,129658.7283,129922.5789,130338.3442,130811.2352,131347.7587,131658.3169,131943.8267,132492.5556,133359.8728,134132.8892,134633.5321,134875.7009,134983.2018,135214.9883,135675.6079,136459.396,136840.7686,137152.14,137166.7608,137108.4611,136918.7364,136793.3513,137084.0619,137147.6663,137155.9976,137118.0179,137318.514,137660.6639,137975.6617,138521.6581,139060.2124,139383.8664,139717.3878,139882.0658,140248.2403,140315.6399,140290.1741,139860.3157,139655.9933,139730.7603,140164.7523,140427.3102,140713.9078,141072.0665,141462.5144,142011.1087,142609.2414,143030.301,143355.2734,143675.7949,144399.1684,145048.6282,145773.0811,146482.2217,147126.0902,147704.1862,148376.2626,149179.403,149995.2513,150624.8398,151507.163,152649.7408,153718.735,154381.7098,154446.0015,154656.7588,154890.7926,155420.8106,155830.9138,156304.2473,156934.8541,157711.725,158529.0803,159030.5022,159305.3678,159548.5067,159905.6688,160389.4429,160698.3351,160839.6594,161059.0182,161740.448,162729.3624,164973.0856,167233.5362,169336.8337,170220.3109,170540.4151,170388.9373,169802.9952,169356.6884,169577.6953,170584.5304,172394.2256,174347.989,175831.4208,176985.3974,178378.0493,180045.5361,181996.8204,184079.0442,186425.8473,188807.3182,190446.8275,191636.4027,192448.4192,193422.2997,194234.4093,194912.5278,195746.8953,197319.4512,199174.1217,201141.0484,202043.4418,202255.1431,201945.7292,202262.7078,202832.3367,203200.9573,202995.2735,202677.3143,202961.7526,203872.0917,205349.6936,206844.9059,208409.2367,210078.4487,211936.6253,213849.853,215599.8342,216582.7561,216965.9671,216962.6249
394856,8,"Miami, FL",msa,FL,1 Bedroom,South Atlantic,South,25.784,-80.2101,76412.50583,75587.71121,74937.6903,74354.34639,73669.15926,72793.10293,71907.6958,71004.27047,70207.16066,69334.67371,68551.33745,67864.09365,67258.73968,66720.65313,66208.69681,65797.5103,65376.04058,65024.33075,64721.3525,64536.73809,64426.49046,64496.57944,64746.79795,65031.97343,65387.0347,65681.34968,65988.96645,66283.08954,66700.03366,67369.61421,68198.87431,69108.90933,70123.05774,71216.75584,72379.60501,73596.46071,75021.9799,76603.16913,78289.20861,79917.80463,81575.46187,83133.048,84714.06326,86316.1004,88006.87648,89598.29067,90805.72732,91849.54834,92817.51674,94014.08693,95196.50947,96492.58966,97872.01638,99138.36867,100436.5261,101601.2648,102718.4896,103542.5021,104362.9973,105240.0195,106065.5798,106753.3523,107404.8315,108159.8605,108917.9287,109646.4022,110387.9905,111337.8885,112244.4134,113311.9844,114155.994,115005.1004,115721.2799,116565.4429,117504.976,118569.4827,119529.9066,120503.0232,121195.1791,121944.6801,122722.7124,123786.661,124743.6731,125357.0832,125669.0963,126097.4707,126885.9751,127819.3458,128591.7042,129302.158,130026.5732,130769.6421,131380.8332,131982.8908,132761.1203,133683.5735,134520.5513,135231.6231,135953.9913,136459.3362,136950.8417,137296.7784,138019.3878,138625.0758,139223.5078,139648.11,140431.7744,141547.7156,142795.871,143571.7192,143684.4883,143367.6583,142981.2738,142773.2628,142695.0141,142823.1662,143047.9206,143446.5026,144156.7819,145176.8008,146658.779,147968.8818,148927.0803,149236.999,149000.9618,148642.2441,148327.7064,148537.1142,149062.0285,149815.9856,150833.5544,151909.1609,152758.2345,153387.522,154236.2055,155596.1861,157396.079,159764.7696,162146.8436,164385.354,166160.8597,167956.4207,170268.8461,173030.2169,176817.7054,181166.2903,186073.8065,191358.9594,196617.798,202144.5638,206697.2675,210180.4136,212448.583,214339.1636,216323.58,217981.0609,218939.9203,219516.9934,220146.8602,221130.598,222257.7038,223665.147,224983.3318,226117.4572,226612.2281,226939.6259,227601.8796,227965.4472,228148.0389,227690.5545
394347,9,"Atlanta, GA",msa,GA,1 Bedroom,South Atlantic,South,33.7628,-84.422,101980.2533,101513.1907,101235.3583,101278.1138,100755.9915,100097.6968,98962.21088,97831.13191,96114.67859,94056.59917,92090.60643,90692.19115,89823.71469,89004.64954,88008.84723,86961.34874,85683.06825,84674.32697,83742.99369,83027.16951,82441.69443,82027.09581,81637.18783,80752.00737,79794.05693,79093.10108,79070.92894,79231.61444,79649.59362,79970.55529,80419.16866,80541.22389,80685.5612,80632.98058,80961.32182,81405.30857,82359.36208,83497.81963,84967.02512,86538.04163,88518.06721,90596.53727,92399.39229,93866.71151,95294.47767,96715.21789,97844.62528,98760.10184,99564.51989,100574.9709,101984.8672,103791.1041,105965.2766,107421.8358,108735.6948,109559.6852,110800.7461,111982.2463,113423.5929,114872.3186,116227.0158,117418.1845,118748.029,120298.2457,121783.4638,122967.4603,123824.8758,124853.0869,125894.738,127373.4785,128931.3878,130677.3805,132242.877,133550.379,134711.7753,136020.521,137449.4018,138992.1437,140097.0616,140908.5621,141803.0565,143174.1361,144953.7893,146879.5211,148198.2124,149571.5148,150897.4456,152671.2776,154323.062,155699.3991,157099.1331,158380.0563,159750.3234,161257.0813,162869.4349,164822.467,166639.8749,168567.1256,170430.3011,171788.0894,173062.8984,173900.4276,175237.7735,176600.8349,178274.3052,180125.8092,181915.7383,183949.6488,185846.567,187591.6216,188671.5202,189037.2593,189014.1529,188613.9875,188533.8951,188786.4172,189216.3447,189729.5567,190535.8081,191755.5066,193886.0527,195721.5384,197084.2279,197095.2265,196518.2499,195670.4739,195153.1689,195234.3259,196070.2064,197217.8662,198667.4117,200094.151,201187.0568,202621.288,204571.8772,206965.9437,208971.7513,210684.9752,212246.6061,213639.1431,214822.7832,216215.8683,217893.1037,220066.1299,222972.5019,226065.3334,229074.3396,232199.9969,235331.3381,238504.1315,240734.7995,242015.508,243009.0606,243997.2317,245486.7409,246526.5687,246963.5773,246853.5184,246840.2233,247121.9995,247747.0229,248308.4709,249122.5884,250620.5207,252311.434,253475.5192,253794.8224,253164.5934,252659.8118,252095.4374
394404,10,"Boston, MA",msa,MA,1 Bedroom,New England,Northeast,42.3188,-71.0852,214012.8377,214730.8714,215267.3562,215899.9433,216275.7122,216731.8215,216668.5523,215856.2224,214128.9027,212370.2829,211017.1831,210447.2871,210003.5042,209547.2228,208586.2796,207756.6233,206932.7062,206348.5928,205603.3854,204783.227,203955.9914,203139.9755,202534.4059,202197.7833,201897.8261,201947.1576,202417.2309,203182.4725,204081.2517,205082.1435,206359.9725,207626.1569,208765.884,209861.2274,211153.85,212772.4703,215002.7378,217525.5435,219514.3657,220906.9336,222190.2716,223762.501,225556.698,227422.6013,229671.7974,232331.4186,234991.3861,237451.0861,239602.1206,241667.7499,243728.9912,245747.4294,247855.8397,249410.2431,250895.4324,252090.0918,253500.5927,254547.3637,255642.5833,257139.7672,259099.2606,261231.8933,263197.8762,264858.8988,266310.0575,267451.2929,268849.6045,271029.2209,273634.4134,276486.565,278909.3239,281363.5836,283632.4951,285526.8501,287168.2469,288891.0649,291109.277,293460.6932,295289.5639,296616.7464,298090.5539,300109.7892,303042.5795,305756.4159,308034.5989,309603.5462,311624.6557,314376.5552,317063.4548,319659.8085,322074.2903,324619.5464,327082.0092,329058.0235,330717.9566,332233.7653,334006.6908,336189.1759,339165.2754,342225.6426,345283.5781,347427.6841,349577.5596,351241.6766,352830.7665,353671.7877,354482.44,354931.7621,355310.3257,355400.0934,355665.4869,356326.4146,356945.365,357608.1591,358087.5312,358262.6395,358119.8096,358376.9154,359357.1455,360498.4388,362465.2099,364764.4754,367380.6381,369248.4618,370146.2002,370322.495,370153.9927,370532.3068,371804.3002,373502.5762,375593.579,377843.0876,379113.8398,379881.2913,380329.0221,381748.1738,383961.208,386528.2801,389021.2055,390937.2854,391914.9143,392804.6527,394239.858,396416.4111,398734.2749,401122.669,404071.7548,407386.7887,410606.8497,413198.6552,414124.3003,413419.7766,411326.7176,409860.8298,409384.0814,409807.1477,410317.4533,410311.8206,410570.8183,411956.6821,414912.5466,418633.1819,422123.8582,425391.7033,428098.9637,430139.0491,431655.4738,432730.7573,434282.7796,435867.3723
